Date,HSI
1/11/2002,11155.15039
4/11/2002,11427.28027
5/11/2002,11678.44043
6/11/2002,11745.83984
7/11/2002,11832.17969
8/11/2002,11784.91992
11/11/2002,11693.04981
12/11/2002,11847.05957
13/11/2002,11529.54004
14/11/2002,11466.11035
15/11/2002,11465.78027
18/11/2002,11486.92969
19/11/2002,11565.23047
20/11/2002,11601.13965
21/11/2002,11158.09961
22/11/2002,11209.78027
25/11/2002,null
26/11/2002,null
27/11/2002,11359.5
28/11/2002,11431.58984
29/11/2002,11397.20996
2/12/2002,null
3/12/2002,11350.84961
4/12/2002,11423.51953
5/12/2002,11702.15039
6/12/2002,11892.63965
9/12/2002,11713.70996
10/12/2002,11440.71973
11/12/2002,11256.07031
12/12/2002,11166.45996
13/12/2002,11209.42969
16/12/2002,11013.58984
17/12/2002,10964.08984
18/12/2002,11013.83984
19/12/2002,10972.95996
20/12/2002,11000.25
23/12/2002,10797.69043
24/12/2002,10762.13965
25/12/2002,10741.45996
26/12/2002,10772.95996
27/12/2002,10767.45996
30/12/2002,11014.24023
31/12/2002,10756.95996
1/1/2003,10725.29981
2/1/2003,10691.25
3/1/2003,10721.32031
6/1/2003,10609.19043
7/1/2003,10592.38965
8/1/2003,10409.67969
9/1/2003,10518.99023
10/1/2003,10832.74023
13/1/2003,null
14/1/2003,null
15/1/2003,null
16/1/2003,10961.87988
17/1/2003,11002.80957
20/1/2003,10840.49023
21/1/2003,10749.05957
22/1/2003,10788.90039
23/1/2003,10664.94043
24/1/2003,10496.01953
27/1/2003,10547.12988
28/1/2003,10648.70996
29/1/2003,10482.54981
30/1/2003,10425.30957
31/1/2003,10704.12012
3/2/2003,10985.83984
4/2/2003,11003
5/2/2003,11188.07031
6/2/2003,11233.23047
7/2/2003,11318.87012
10/2/2003,11273.86035
11/2/2003,11217.5
12/2/2003,11303.7002
13/2/2003,11210.25
14/2/2003,11230.63965
17/2/2003,11222.83008
18/2/2003,11036.59961
19/2/2003,10829.73047
20/2/2003,10863.07031
21/2/2003,10836.63965
24/2/2003,10786.91992
25/2/2003,10987.87988
26/2/2003,11032.91992
27/2/2003,null
28/2/2003,null
3/3/2003,10878.04004
4/3/2003,10833.95996
5/3/2003,10831.37012
6/3/2003,null
7/3/2003,10723.67969
10/3/2003,10733.69043
11/3/2003,10643.13965
12/3/2003,10744.91016
13/3/2003,10710.48047
14/3/2003,10727.98047
17/3/2003,10788.53027
18/3/2003,11090.58008
19/3/2003,11217.15039
20/3/2003,11252.17969
21/3/2003,11139.41992
24/3/2003,11345.17969
25/3/2003,11396.57031
26/3/2003,11409.29004
27/3/2003,11385.08008
28/3/2003,11361.49023
31/3/2003,11497.58008
1/4/2003,null
2/4/2003,11780.11035
3/4/2003,11797.21973
4/4/2003,11736.2002
7/4/2003,11795.98047
8/4/2003,11768.30957
9/4/2003,11700.75977
